ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME
37454,26-39,female,majority,0-9y,high school,working class,0.5241464658,0,before 2015,0,0,10238,17000,sedan,0,0,0,1
370044,65+,male,majority,20-29y,university,upper class,0.5531007571,0,after 2015,1,1,32765,7000,sedan,9,0,1,0
768282,16-25,female,majority,0-9y,university,working class,0.4475509489,0,before 2015,1,1,10238,8000,sedan,0,0,0,1
738729,16-25,female,majority,0-9y,none,working class,0.5107331365,1,before 2015,1,1,10238,7000,sedan,0,0,0,1
437535,26-39,female,majority,10-19y,high school,middle class,,1,after 2015,1,0,10238,15000,sedan,0,0,0,0
329536,16-25,female,majority,0-9y,high school,poverty,0.4613735917,0,before 2015,0,0,32765,9000,sedan,0,0,0,1
328531,40-64,female,majority,20-29y,university,middle class,0.3875569444,0,after 2015,0,1,32765,12000,sedan,2,0,1,0
123941,40-64,female,majority,20-29y,university,middle class,0.5701572257,1,after 2015,1,1,10238,,sedan,0,0,0,0
131881,26-39,male,majority,10-19y,university,working class,0.5501250876,1,before 2015,0,0,10238,16000,sedan,0,1,0,0
839572,40-64,male,majority,20-29y,high school,working class,0.4529442316,0,before 2015,1,1,10238,12000,sedan,3,0,1,0
171578,26-39,male,majority,10-19y,university,upper class,,1,before 2015,1,1,10238,8000,sedan,2,0,1,0
589757,40-64,female,majority,20-29y,high school,upper class,0.5352743097,1,before 2015,1,1,92101,7000,sedan,2,0,0,0
336859,16-25,female,majority,0-9y,university,middle class,0.6147359486,1,before 2015,0,1,10238,15000,sedan,0,0,0,1
788111,40-64,female,minority,20-29y,high school,poverty,0.4544471564,1,before 2015,1,1,10238,,sedan,1,0,1,0
407453,40-64,female,majority,0-9y,university,upper class,0.6137409184,1,before 2015,0,0,10238,,sedan,0,0,0,0
367026,40-64,female,minority,10-19y,high school,working class,0.532661328,1,before 2015,1,1,10238,11000,sedan,0,0,0,0
334687,40-64,female,minority,0-9y,university,middle class,0.4277285143,1,before 2015,0,0,10238,15000,sedan,0,0,0,1
623367,65+,male,majority,20-29y,university,upper class,0.6859457214,1,before 2015,1,1,32765,5000,sedan,4,1,4,0
688440,65+,male,majority,10-19y,university,upper class,0.6936124267,1,before 2015,1,1,10238,10000,sedan,2,0,0,0
547974,65+,male,majority,20-29y,high school,upper class,0.5979905964,0,before 2015,1,1,10238,12000,sedan,2,1,7,1
989064,26-39,male,majority,0-9y,none,poverty,0.3308186665,0,after 2015,1,1,10238,12000,sedan,0,0,0,1
422816,40-64,male,majority,20-29y,high school,working class,,1,before 2015,0,0,10238,12000,sedan,5,0,7,0
307408,26-39,female,minority,10-19y,none,working class,,1,before 2015,0,1,10238,9000,sedan,2,0,0,0
675898,16-25,male,majority,0-9y,high school,middle class,0.5083042184,1,before 2015,0,1,10238,16000,sedan,0,0,0,0
480452,26-39,female,majority,0-9y,university,upper class,0.7641329165,1,before 2015,1,1,10238,12000,sedan,0,0,0,0
93199,40-64,female,majority,0-9y,university,middle class,0.4775169604,1,after 2015,1,1,10238,14000,sedan,0,0,0,0
125802,40-64,female,majority,20-29y,university,upper class,0.6812332078,1,before 2015,1,1,10238,10000,sedan,0,0,1,0
616663,40-64,male,majority,0-9y,university,upper class,0.4671555457,1,after 2015,0,0,10238,16000,sedan,0,0,0,0
423497,16-25,female,majority,0-9y,high school,working class,0.3941632455,1,before 2015,0,0,10238,16000,sedan,0,0,0,1
492837,40-64,female,majority,10-19y,university,upper class,0.6610607323,1,after 2015,1,1,10238,14000,sedan,0,0,0,0
422563,40-64,male,majority,20-29y,university,upper class,0.6651879748,0,before 2015,0,1,10238,14000,sedan,2,0,1,0
185231,16-25,female,majority,0-9y,high school,middle class,0.5607702066,1,before 2015,0,1,10238,11000,sedan,0,0,0,0
949152,26-39,female,majority,10-19y,university,upper class,0.7454327104,0,after 2015,0,0,32765,9000,sedan,0,0,0,0
859453,26-39,male,majority,10-19y,university,middle class,0.5325743522,1,before 2015,1,1,10238,13000,sedan,1,0,2,0
466578,26-39,female,majority,10-19y,high school,middle class,0.5267473391,1,after 2015,0,1,10238,14000,sedan,0,0,0,0
998214,16-25,female,minority,0-9y,none,poverty,0.4124517462,0,before 2015,0,0,10238,14000,sedan,0,0,0,1
828462,40-64,male,majority,20-29y,high school,working class,0.3871071449,0,before 2015,0,1,10238,16000,sedan,0,0,6,0
511837,65+,male,majority,10-19y,high school,middle class,0.5499938678,1,before 2015,1,1,32765,9000,sedan,3,1,1,0
554995,16-25,male,majority,0-9y,university,upper class,0.5853420948,1,before 2015,1,1,10238,12000,sports car,0,0,0,1
680717,65+,male,majority,30y+,none,middle class,0.5987396054,1,before 2015,1,1,10238,14000,sedan,6,1,3,0
978021,40-64,male,majority,20-29y,university,upper class,0.6026557001,1,after 2015,1,1,10238,7000,sedan,4,0,6,0
509815,26-39,female,majority,0-9y,high school,working class,0.5114570585,1,after 2015,1,1,32765,,sedan,0,0,0,0
6676,40-64,female,majority,20-29y,high school,upper class,0.5586591735,0,before 2015,0,1,10238,15000,sedan,3,0,2,0
362280,40-64,male,majority,10-19y,high school,working class,0.6284070137,0,before 2015,0,0,10238,13000,sedan,0,0,0,1
883018,40-64,male,majority,0-9y,high school,working class,0.5057903733,1,before 2015,0,1,10238,13000,sedan,0,0,0,0
889355,26-39,female,majority,10-19y,university,upper class,0.7268184181,1,before 2015,1,1,10238,15000,sedan,2,0,0,0
198273,65+,male,majority,20-29y,university,upper class,0.6904423336,1,after 2015,1,1,32765,9000,sedan,8,0,2,0
197763,40-64,male,majority,20-29y,university,upper class,0.4796771647,0,after 2015,1,0,10238,14000,sedan,1,0,2,0
55670,26-39,male,majority,10-19y,university,upper class,,1,after 2015,1,1,10238,11000,sedan,3,1,0,0
545941,40-64,female,majority,20-29y,none,working class,0.4405592042,1,after 2015,1,1,10238,11000,sedan,1,0,2,0
814196,16-25,female,majority,0-9y,none,middle class,0.6340525972,1,before 2015,0,1,32765,,sedan,0,0,0,1
560160,16-25,female,majority,0-9y,high school,poverty,0.457469588,0,before 2015,0,0,10238,,sedan,0,0,0,0
320444,26-39,male,majority,0-9y,none,poverty,0.3086490182,0,before 2015,0,1,10238,14000,sedan,0,0,0,0
305793,16-25,male,majority,0-9y,high school,poverty,0.2458351852,0,before 2015,1,1,10238,11000,sedan,0,0,0,1
362190,16-25,male,majority,0-9y,high school,poverty,0.305646519,0,before 2015,0,0,10238,14000,sedan,0,0,0,1
62647,26-39,male,majority,10-19y,high school,upper class,0.7440140863,1,before 2015,0,0,10238,13000,sedan,2,0,1,0
296948,40-64,male,majority,10-19y,university,upper class,0.6704645468,1,after 2015,1,1,10238,14000,sedan,0,0,0,0
673660,65+,female,majority,30y+,high school,upper class,0.6830407985,0,after 2015,1,1,10238,10000,sedan,4,1,3,0
945867,16-25,male,majority,0-9y,university,middle class,0.8286285691,1,before 2015,0,0,10238,13000,sedan,0,0,0,1
391880,65+,male,majority,30y+,none,middle class,,1,before 2015,1,1,32765,10000,sedan,12,2,2,0
241973,65+,female,majority,30y+,high school,upper class,0.629338094,1,before 2015,1,0,10238,11000,sedan,2,0,2,0
429503,16-25,male,majority,0-9y,high school,poverty,0.2837242105,0,before 2015,0,1,10238,15000,sedan,0,0,0,1
810013,16-25,male,majority,0-9y,university,working class,0.4576486816,1,after 2015,0,0,10238,14000,sports car,0,0,0,1
663458,16-25,female,majority,0-9y,high school,poverty,0.3049876424,0,before 2015,0,0,10238,15000,sedan,0,0,0,1
879976,16-25,male,majority,0-9y,high school,working class,0.5517442884,0,before 2015,1,1,32765,10000,sedan,0,0,0,1
418841,16-25,male,minority,0-9y,none,poverty,0.3186855562,1,before 2015,1,0,32765,9000,sedan,0,0,0,1
542236,26-39,male,minority,10-19y,none,working class,0.4369441942,1,before 2015,0,0,10238,12000,sedan,3,0,0,0
937573,40-64,male,majority,10-19y,university,upper class,0.6291939843,1,before 2015,1,1,32765,7000,sedan,5,0,1,0
670850,16-25,male,majority,0-9y,university,working class,0.4055600159,1,before 2015,0,0,10238,17000,sedan,0,0,0,1
151252,16-25,male,majority,0-9y,university,middle class,0.6235462116,1,before 2015,1,0,10238,11000,sedan,0,0,0,0
706349,65+,male,majority,10-19y,university,upper class,0.7270329898,1,before 2015,1,1,10238,10000,sedan,1,1,2,0
602998,65+,male,majority,20-29y,none,working class,0.4268283889,1,before 2015,1,0,10238,14000,sedan,3,1,7,0
242772,26-39,female,majority,10-19y,none,middle class,0.5036589704,1,before 2015,0,1,10238,10000,sedan,1,2,0,0
393449,26-39,female,majority,10-19y,high school,middle class,,0,before 2015,0,0,10238,12000,sedan,2,0,0,0
380740,65+,male,majority,30y+,university,upper class,0.7264400018,1,after 2015,1,1,10238,7000,sedan,2,0,3,0
938115,16-25,female,majority,0-9y,none,poverty,0.2444900931,0,before 2015,0,1,32765,,sedan,0,0,0,1
727943,16-25,male,majority,0-9y,university,middle class,0.5757707975,1,before 2015,0,0,10238,11000,sedan,0,0,0,1
766309,16-25,male,majority,0-9y,high school,poverty,,0,before 2015,0,0,10238,10000,sports car,0,0,0,1
261229,16-25,male,majority,0-9y,university,working class,0.4686719657,1,after 2015,0,1,32765,9000,sedan,0,0,0,1
60866,65+,male,majority,20-29y,university,upper class,0.6970834558,0,after 2015,0,1,10238,13000,sedan,3,0,2,0
752797,40-64,female,majority,20-29y,high school,working class,0.5429181079,1,before 2015,0,0,10238,15000,sedan,1,1,0,0
45002,65+,male,majority,30y+,high school,upper class,0.6722562535,1,before 2015,1,1,10238,9000,sedan,4,1,2,0
482448,16-25,male,majority,0-9y,none,poverty,0.3864066186,0,before 2015,0,0,32765,8000,sedan,0,0,0,1
549142,16-25,male,majority,0-9y,university,middle class,0.5512978331,1,before 2015,1,1,10238,12000,sedan,0,0,0,1
95138,40-64,male,majority,20-29y,high school,middle class,0.5985570254,0,after 2015,1,0,10238,14000,sedan,4,1,4,0
851152,26-39,female,majority,10-19y,none,working class,,0,before 2015,1,1,10238,,sedan,0,0,1,0
615991,40-64,female,majority,20-29y,high school,upper class,0.5824219946,1,after 2015,1,1,10238,11000,sedan,2,0,1,0
424820,26-39,female,minority,10-19y,high school,middle class,0.5401827232,1,before 2015,1,1,10238,,sedan,0,0,1,0
807847,65+,male,majority,20-29y,university,upper class,0.6330139475,1,after 2015,0,1,10238,14000,sedan,3,1,4,0
758983,40-64,male,majority,20-29y,high school,middle class,0.5522046303,1,after 2015,1,0,32765,12000,sedan,6,0,3,0
987114,26-39,female,majority,0-9y,university,middle class,0.3266816102,0,before 2015,0,0,10238,16000,sedan,0,0,0,1
873457,40-64,male,minority,20-29y,high school,middle class,0.5880825424,1,before 2015,1,1,10238,13000,sedan,7,1,1,0
699703,65+,female,majority,0-9y,university,upper class,0.7022748021,0,before 2015,1,1,92101,10000,sedan,0,0,0,1
563342,65+,female,majority,0-9y,university,upper class,0.7266055392,1,before 2015,0,1,10238,13000,sedan,0,0,0,0
504412,26-39,male,majority,10-19y,university,working class,,0,before 2015,1,1,10238,12000,sedan,3,2,3,1
284106,65+,male,majority,30y+,university,upper class,0.7323821214,1,before 2015,1,1,10238,12000,sedan,5,1,5,0
78189,16-25,female,majority,0-9y,none,poverty,0.2012839212,1,before 2015,0,0,32765,12000,sedan,0,0,0,1
427520,26-39,male,majority,10-19y,university,middle class,0.4641607076,0,before 2015,0,0,10238,16000,sedan,0,1,0,0
689030,40-64,female,majority,20-29y,university,upper class,0.6579677428,1,after 2015,1,0,92101,13000,sedan,1,0,1,0
966467,65+,male,majority,30y+,university,upper class,0.6002161554,1,before 2015,1,1,10238,13000,sedan,5,2,4,0
288712,65+,male,majority,30y+,university,upper class,0.6663760182,1,after 2015,1,1,10238,12000,sedan,3,0,7,0
228114,26-39,male,majority,0-9y,high school,working class,0.4031472802,1,before 2015,1,1,10238,10000,sedan,0,0,0,0
63715,65+,male,majority,20-29y,university,upper class,0.4169350441,1,before 2015,0,1,10238,13000,sedan,5,1,5,0
624077,65+,female,majority,30y+,none,upper class,0.5948797137,1,before 2015,1,1,32765,8000,sports car,10,0,1,0
726352,26-39,male,minority,10-19y,none,poverty,0.3804265035,0,before 2015,1,1,10238,16000,sedan,1,0,1,0
150072,16-25,female,majority,0-9y,none,poverty,,0,before 2015,0,0,21217,14000,sedan,0,0,0,1
792396,65+,female,majority,30y+,university,upper class,0.6806176324,1,before 2015,1,1,10238,12000,sedan,1,2,2,0
768933,40-64,male,minority,0-9y,high school,working class,0.35595047,1,before 2015,0,1,10238,16000,sedan,0,0,0,1
452356,40-64,female,majority,10-19y,none,middle class,,1,before 2015,0,1,32765,10000,sedan,2,0,0,0
849811,65+,female,minority,30y+,high school,upper class,0.5878314264,1,after 2015,1,0,32765,,sports car,3,0,1,0
579336,65+,female,majority,10-19y,university,upper class,0.5733880426,1,after 2015,1,1,10238,10000,sedan,0,0,2,0
648922,16-25,male,majority,0-9y,university,middle class,0.2964062828,1,before 2015,0,0,10238,13000,sedan,0,0,0,1
47909,65+,male,majority,10-19y,university,upper class,0.4295096986,1,before 2015,1,1,10238,10000,sedan,1,0,4,0
619577,65+,female,majority,30y+,university,upper class,0.6885687186,1,after 2015,0,1,92101,11000,sedan,2,0,0,0
212678,65+,female,majority,20-29y,university,upper class,0.700017432,1,after 2015,0,1,32765,13000,sedan,1,0,1,0
579720,26-39,male,majority,10-19y,university,working class,0.449588631,0,before 2015,0,1,10238,,sports car,0,0,1,1
995884,40-64,female,majority,20-29y,university,upper class,0.6900455819,1,after 2015,1,0,10238,11000,sedan,2,1,1,0
226326,40-64,female,minority,10-19y,university,working class,0.4960298731,1,after 2015,0,0,10238,13000,sedan,0,0,1,0
943922,26-39,male,majority,10-19y,university,upper class,0.6563457625,0,after 2015,1,1,32765,6000,sedan,8,0,0,0
510116,40-64,male,majority,0-9y,high school,middle class,0.498356626,1,after 2015,0,1,10238,12000,sedan,0,0,0,0
536546,16-25,female,majority,0-9y,university,middle class,0.5463825431,1,before 2015,1,1,10238,12000,sedan,0,0,0,0
75592,40-64,female,majority,10-19y,high school,working class,0.3158628767,1,before 2015,0,1,10238,11000,sedan,0,0,1,0
487116,26-39,male,majority,10-19y,none,working class,0.5300643171,1,before 2015,0,0,10238,,sedan,1,0,2,1
936820,26-39,female,majority,10-19y,high school,working class,0.3578391721,1,before 2015,0,1,32765,12000,sedan,1,0,0,1
634050,65+,male,majority,10-19y,university,upper class,0.6727560528,1,after 2015,1,1,10238,9000,sedan,1,0,2,0
307397,40-64,male,majority,20-29y,university,upper class,0.741999376,1,after 2015,0,1,10238,,sedan,2,0,2,0
558748,65+,female,majority,30y+,university,upper class,0.622651979,1,after 2015,1,1,10238,11000,sedan,1,0,0,0
856630,16-25,female,majority,0-9y,high school,middle class,0.4801406677,0,after 2015,0,0,32765,14000,sedan,0,0,0,1
200009,65+,male,majority,30y+,university,upper class,0.678795431,1,after 2015,1,1,10238,11000,sedan,5,1,3,0
784462,65+,male,majority,30y+,university,upper class,,1,before 2015,1,1,32765,10000,sedan,13,1,6,0
792252,40-64,female,majority,20-29y,university,upper class,0.515246708,1,after 2015,0,1,10238,12000,sedan,2,0,1,0
462586,26-39,male,majority,10-19y,none,working class,0.4899205986,1,before 2015,0,1,10238,13000,sedan,3,0,1,0
577965,65+,male,majority,30y+,high school,middle class,0.4219579486,1,before 2015,0,1,10238,11000,sedan,4,0,6,0
818248,40-64,male,majority,20-29y,university,upper class,0.5843548497,1,before 2015,0,0,10238,,sedan,1,0,2,0
491438,16-25,male,majority,0-9y,none,poverty,,0,before 2015,0,0,10238,9000,sedan,0,0,0,1
896587,65+,female,majority,30y+,high school,upper class,0.5581569699,1,after 2015,0,1,10238,14000,sedan,0,0,0,0
431538,16-25,male,majority,0-9y,high school,poverty,0.1941495484,0,before 2015,1,0,10238,12000,sports car,0,0,0,1
164516,16-25,male,majority,0-9y,high school,poverty,0.3004973304,0,before 2015,0,0,10238,13000,sedan,0,0,0,1
479577,40-64,female,majority,20-29y,university,upper class,0.6670906918,1,after 2015,1,1,10238,7000,sedan,4,0,0,0
395233,40-64,male,majority,0-9y,high school,upper class,0.6130724079,1,before 2015,1,0,10238,,sedan,0,0,0,1
221838,40-64,male,majority,10-19y,university,upper class,,1,after 2015,1,0,10238,11000,sedan,3,0,2,0
938476,26-39,male,minority,10-19y,high school,middle class,0.595281763,1,before 2015,1,1,32765,8000,sedan,1,0,1,0
112454,26-39,male,majority,0-9y,none,poverty,0.3482357883,0,before 2015,1,1,32765,7000,sedan,0,0,0,1
91246,26-39,male,majority,10-19y,high school,working class,0.3566396715,1,after 2015,1,1,10238,8000,sedan,3,0,1,0
2743,26-39,female,majority,10-19y,none,working class,0.3486591269,0,before 2015,1,0,21217,12000,sedan,0,0,0,1
248888,40-64,male,majority,0-9y,high school,middle class,0.5594684861,1,before 2015,0,1,32765,12000,sedan,0,0,0,1
195523,16-25,male,majority,0-9y,high school,poverty,0.514483731,0,before 2015,0,0,10238,12000,sedan,0,0,0,1
981926,40-64,female,majority,20-29y,university,upper class,0.5626384061,1,after 2015,0,1,10238,13000,sedan,2,1,0,0
593426,40-64,male,majority,20-29y,university,middle class,0.5717246253,1,before 2015,0,1,32765,15000,sedan,2,2,1,0
235574,65+,female,majority,30y+,university,upper class,0.651007869,1,after 2015,1,1,10238,12000,sedan,5,0,2,0
440993,16-25,male,majority,0-9y,university,working class,0.3707348174,1,before 2015,0,0,10238,12000,sedan,0,0,0,1
446993,16-25,male,majority,0-9y,high school,poverty,0.3051450777,1,before 2015,0,0,10238,14000,sedan,0,0,0,0
82684,26-39,male,majority,10-19y,university,upper class,0.5744144217,1,before 2015,0,0,32765,,sedan,2,0,5,1
301242,26-39,female,majority,10-19y,university,middle class,0.4500145681,1,before 2015,0,1,10238,13000,sedan,1,0,1,0
784122,26-39,male,majority,10-19y,university,upper class,0.6364490959,1,before 2015,1,1,10238,,sedan,0,1,4,0
884967,65+,male,majority,30y+,university,upper class,0.4576717029,0,before 2015,1,1,10238,,sedan,4,0,8,0
7722,26-39,female,minority,0-9y,high school,poverty,0.3357473732,0,before 2015,0,1,10238,15000,sedan,0,0,0,1
278557,26-39,female,majority,10-19y,none,poverty,0.3186947649,0,before 2015,0,1,32765,,sports car,1,2,0,0
123443,26-39,male,majority,10-19y,university,upper class,0.5578403272,1,after 2015,1,1,10238,10000,sedan,2,0,0,0
112143,16-25,female,majority,0-9y,none,working class,0.1924274124,0,before 2015,0,1,32765,11000,sedan,0,0,0,1
912138,26-39,male,majority,10-19y,university,working class,0.3528243251,0,before 2015,1,1,32765,11000,sports car,6,1,3,1
601305,65+,female,majority,0-9y,university,upper class,0.6475692349,0,after 2015,1,1,10238,11000,sedan,0,0,0,1
602274,16-25,female,majority,0-9y,high school,middle class,0.4572362634,1,after 2015,0,0,92101,10000,sedan,0,0,0,0
352099,26-39,male,majority,10-19y,none,middle class,0.5042469292,1,before 2015,0,1,10238,13000,sedan,0,0,1,0
660400,16-25,male,majority,0-9y,high school,poverty,0.3749625007,1,before 2015,0,1,10238,15000,sedan,0,0,0,1
267614,16-25,female,majority,0-9y,university,upper class,0.6603156213,1,before 2015,0,1,10238,11000,sports car,0,0,0,0
974380,40-64,female,majority,20-29y,high school,upper class,0.4169178874,1,before 2015,0,1,32765,12000,sedan,3,0,0,0
346585,26-39,female,majority,10-19y,high school,upper class,0.6350840348,1,before 2015,1,0,10238,17000,sedan,0,1,0,0
536135,26-39,male,majority,10-19y,high school,middle class,0.4049288507,1,before 2015,1,1,92101,11000,sedan,2,0,0,0
75569,40-64,female,majority,20-29y,high school,upper class,0.4956283926,0,after 2015,1,0,10238,11000,sedan,2,0,0,0
415320,16-25,male,majority,0-9y,none,poverty,0.392177835,0,before 2015,1,0,10238,,sedan,0,0,0,1
645135,40-64,female,majority,10-19y,high school,upper class,0.5149450496,1,after 2015,1,1,10238,11000,sedan,0,0,2,0
421596,65+,male,majority,30y+,university,upper class,0.5032225393,1,after 2015,1,1,10238,9000,sedan,6,2,10,0
164636,26-39,female,majority,10-19y,university,upper class,0.7140339031,1,before 2015,1,1,21217,11000,sedan,0,0,0,1
405100,26-39,male,majority,10-19y,high school,working class,0.3670512395,0,before 2015,1,0,10238,14000,sedan,1,0,1,1
315223,40-64,female,majority,20-29y,high school,middle class,0.5793929044,1,before 2015,0,0,92101,13000,sedan,2,0,0,0
628723,40-64,female,majority,20-29y,high school,middle class,0.5584702236,1,before 2015,0,1,10238,10000,sedan,1,0,4,0
483693,16-25,female,majority,0-9y,high school,working class,0.2919776582,0,before 2015,0,1,32765,12000,sedan,0,0,0,1
416795,40-64,female,majority,20-29y,high school,middle class,0.6615841421,1,before 2015,0,1,32765,12000,sedan,5,0,0,0
712973,16-25,female,majority,0-9y,none,poverty,0.3788290288,0,before 2015,0,0,10238,17000,sedan,0,0,0,1
755061,16-25,female,minority,0-9y,high school,poverty,0.374070559,1,before 2015,0,0,10238,15000,sedan,0,0,0,1
625426,40-64,male,majority,20-29y,university,upper class,,1,before 2015,0,0,10238,13000,sedan,3,1,2,0
162614,65+,male,majority,30y+,university,upper class,0.4593785752,1,before 2015,1,1,10238,13000,sedan,1,0,5,0
732843,40-64,male,majority,20-29y,university,middle class,,1,before 2015,0,0,10238,15000,sedan,2,0,5,0
